name,main_category,sub_category,image,ratings,discount_price,actual_price
Amazon Brand - Symbol Men's Regular Polo Shirt,stores,Men's Fashion,https://m.media-amazon.com/images/I/711EZQKzMAL._AC_UL320_.jpg,3.5,369.0,1199.0
All India Group KENT AQUA RO BOOSTER PUMP QX-100 (GPD) Diaphragm Booster Pump For All Type Of Domestic Water Purifies,appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/I/71Yx1qQt5jL._AC_UL320_.jpg,4.0,1190.0,2799.0
"New/Right Title: Fastrack Men Square Sunglasses, GREEN, 54mm - Pack of 1",stores,Men's Fashion,https://m.media-amazon.com/images/I/61g7fzxn6lL._AC_UL320_.jpg,3.9,629.0,999.0
"NIINE Cottony Soft Baby Diaper Pants with Wetness Indicator for Overnight Protection , Mega Pack, Small Size, 86N",toys & baby products,Diapers,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61nN8zvBnoL._AC_UL320_.jpg,3.4,758.0,1149.0
"Ratanshala- Round Beaded Eyeglasses Chain for Women, Sunglasses Chain, Reading Glasses Holder,Lanyard for Face Mask, Cryst...",accessories,Sunglasses,https://m.media-amazon.com/images/I/41y4diqKDaL._AC_UL320_.jpg,4.0,230.0,999.0
"ICC Official Cricket World Cup Whistle with articipating Teams Logos Lanyard Pea Whistle Black,",sports & fitness,Cricket,https://m.media-amazon.com/images/I/61HTrGdD7RL._AC_UL320_.jpg,1.0,199.0,400.0
ZXN Clothing Women Jeans,women's clothing,Western Wear,https://m.media-amazon.com/images/I/615Bi1-+FUL._AC_UL320_.jpg,3.9,495.0,1499.0
Jaipuri Print Rajasthani Palazzo for Women Comfortable Palazzo for Women P8,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/71ZEwvp4DuL._AC_UL320_.jpg,4.4,698.0,999.0
"TEVCITY® Remote, for JBL Cinema SB400 Soundbar Speaker.","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71tAZGDokuL._AC_UL320_.jpg,5.0,1599.0,3000.0
RVold Digital Unisex Child Watch (Multicolor Dial Colored Strap),stores,Men's Fashion,https://m.media-amazon.com/images/I/516uvAdeKSL._AC_UL320_.jpg,3.8,287.1,1029.0
Senco Gold 14KT Rose Gold and Diamond Pendant for Girls,accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/41nC3BBT0lL._AC_UL320_.jpg,2.0,4384.0,4571.0
BFJ One Gram Gold Chain for Women Gold Plated Traditional Designer Neck Chain Thali Chain Covering Chain Mangalsutra Manga...,accessories,Fashion & Silver Jewellery,https://m.media-amazon.com/images/I/71cBHL2nu8S._AC_UL320_.jpg,3.0,499.0,2490.0
Liberty Girls' Black Uniform Shoes -5 UK,men's shoes,Formal Shoes,https://m.media-amazon.com/images/I/915YWKoiKtL._AC_UL320_.jpg,4.1,699.0,799.0
AMERICAN CREW Women's Slim Fit Jeans,women's clothing,Western Wear,https://m.media-amazon.com/images/I/614K4ein1LL._AC_UL320_.jpg,3.4,599.0,2199.0
Alekya Women's Knee Length Midi Western Dress (A-012),women's clothing,Western Wear,https://m.media-amazon.com/images/I/61n7N1zIx2L._AC_UL320_.jpg,3.9,497.0,1389.0
Malabar Gold and Diamonds 22KT Yellow Gold Stud Earrings for Women(15mm x 9mm),accessories,Gold & Diamond Jewellery,https://m.media-amazon.com/images/I/61dSY0ZFp3L._AC_UL320_.jpg,3.8,20899.0,23999.0
Raymond Men's Regular Fit Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61B1fSRCYJL._AC_UL320_.jpg,5.0,2709.0,5999.0
Stealodeal Metal Women Card Wallet(black),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/515wOKuebEL._AC_UL320_.jpg,3.9,269.0,499.0
Red Rose Fashion Women's Maxi Skirt,women's clothing,Clothing,https://m.media-amazon.com/images/I/61IQ6bbW94L._AC_UL320_.jpg,3.2,389.0,1599.0
Mishka 10 Pouch Jewellery Box| Portable Cosmetics Organiser| Kit| Solid Print & Waterproof Outer material| 10 Pouches With...,home & kitchen,Home Storage,https://m.media-amazon.com/images/I/41uroY6fiBL._AC_UL320_.jpg,4.0,349.0,599.0
Amazon Brand - Solimo UV Protection & Dust Resistant Car Cover for Tata Harrier (Blue & Silver),car & motorbike,Car Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61tPCkapjmL._AC_UL320_.jpg,4.6,1579.0,4000.0
Amante Vanish Seamless High Coverage High Waist Panty,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/71ZSVWvUMaL._AC_UL320_.jpg,4.3,548.0,645.0
FENTACIA Men Grey Penny Loafers with Anti-Skid Rubber Sole,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51aJZK-la4L._AC_UL320_.jpg,3.1,841.0,4499.0
TIMEX Classics Analog Black Dial Men's Watch - TI000R41500,stores,Men's Fashion,https://m.media-amazon.com/images/I/81DtNQ7C7KL._AC_UL320_.jpg,3.5,1690.0,1795.0
Myprotein Impact Whey Protein - 2. 5 Kg (Chocolate Smooth),beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31XLwMEPVLL._AC_UL320_.jpg,4.0,5900.0,8999.0
Zacharias Unisex Cotton Visors Tennis Cap Pack of 2 Black & Light Grey,stores,Men's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71qnJTNUNrL._AC_UL320_.jpg,3.2,325.0,999.0
Adidas Men's Adirise M Leather Running Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/51u-2YjglhL._AC_UL320_.jpg,4.7,2799.0,3999.0
MVMT Analog Brown Dial Women's Watch-28000063-D,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/715cZWKvTBL._AC_UL320_.jpg,5.0,9878.0,14112.0
RAADHE CREATION five layers white and Green pearl beads Dulha groom sherwani Necklace/Moti Mala for Men for wedding,accessories,Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/813f33QNwTL._AC_UL320_.jpg,4.2,689.08,1599.0
Women's Sleek String Sea Blue Tanga Hipster Panty | Tanga Underwear |Tanga Undies | Bikini Underwear for Women | String Bi...,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/I/41AtXN46xXL._AC_UL320_.jpg,5.0,349.0,598.0
Okean® Divo Diecast Metal Model Cars for Boy Toys Age 3-12 Pull Back Vehicles with Music Doors and Hood Can Be Opened - Mu...,toys & baby products,Toys & Games,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/718BefDKsoL._AC_UL320_.jpg,4.7,748.0,1999.0
leeza store Women's Cotton Slub Embroidered Unstitched Churidar Dress Material With Banarasi Dupatta,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/71JD4rlt85L._AC_UL320_.jpg,3.5,759.0,2999.0
"Rudra Rage Stainless Steel Punjabi Kada for Men(Plain, 0.2"" thickness)",accessories,Jewellery,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31j9MTcVnCL._AC_UL320_.jpg,4.0,199.0,600.0
Dennis Lingo Men's Striped Slim Fit Cotton Casual Shirt,men's clothing,Shirts,https://m.media-amazon.com/images/I/71WFTUl6LIL._AC_UL320_.jpg,3.9,499.0,2299.0
